node,x,y,z
61,42.50482510142331,-171.8524395630861,1195.213503681244
62,45.27876880104721,-172.5041606512184,1198.315480593102
63,48.50888067744914,-172.3464004198867,1201.010143668243
64,51.94684272975931,-171.5505983531689,1203.28262373795
65,52.64782770432633,-169.24681521123,1206.310854414408
66,28.81614920085345,-160.8216166919883,1189.350353414501
67,25.37982444510709,-164.6017390551411,1188.262757578168
68,26.87551116762471,-170.0160722304064,1195.052555350977
69,30.85409594749412,-173.6007946099942,1202.109651515357
70,36.68840375874122,-174.971530825572,1208.633905597314
71,43.73674545738162,-173.977519800855,1213.907744380582
72,51.22781359684114,-170.6745716841285,1217.167445878044
73,51.38452711099815,-166.1179660768138,1214.5887447415
74,47.66282595667987,-165.364205454145,1211.509819416674
75,43.65669698541011,-165.8845147431802,1208.486804791856
76,39.94679615258883,-165.7463283387597,1205.069277801448
77,36.62365934641708,-164.9654947227455,1201.353075700322
78,33.772316839979,-163.5622378741024,1197.43352999582
79,31.47716006499134,-161.5614786524727,1193.410089312356
80,8.266027263411797,-145.5718186688446,1193.590648755275
81,0.06752795755986075,-151.6327303112721,1191.624214196583
82,0.9750050387736786,-162.8252276718761,1203.55882629334
83,8.534478360670338,-170.1183457941265,1217.077498279287
84,19.9201753176972,-172.7933484828738,1229.809630691796
85,33.5171340733484,-170.4708099346992,1239.949281567299
86,47.25406362347505,-162.718929788024,1244.390875979858
87,47.64780552218722,-154.8160289508712,1237.624368203368
88,41.83705097651456,-152.984964735988,1231.296763685235
89,34.58032351244704,-154.631023852289,1226.532600131934
90,27.89170034502531,-154.7531877057271,1220.741219453432
91,22.06379840138656,-153.3838709768429,1214.22404377995
92,17.35779376390986,-150.5846913895009,1207.273390100512
93,14.02941861955728,-146.4495805501705,1200.198149610367
94,-4.603291959878775,-126.9963070413348,1203.285748519884
95,-16.61020556566424,-133.5458392114049,1199.924870107642
96,-18.25600512338314,-148.0267729718331,1211.871761200389
97,-7.487745023715423,-157.4567890851211,1229.852616693184
98,7.984235851594349,-161.0918408068405,1247.154263578651
99,25.91951505766689,-158.405554127744,1261.271334354392
100,40.6769589101571,-147.005124189011,1263.986627926872
101,40.34698654148639,-137.557858802004,1253.553008815629
102,32.59176867213895,-138.7141648416221,1247.327830004494
103,23.93330246374405,-141.0746542986003,1242.026176704064
104,15.98028996199313,-141.3622283385635,1235.281881291553
105,9.109011364388012,-139.7476574192355,1227.597824637427
106,3.679939597615907,-136.3162444072528,1219.377717217321
107,0.1662942482804023,-131.0959886092203,1211.067824694257
108,65.75239999771472,-161.5409999938305,1179.450000003182
109,62.77762219488854,-168.6175762037218,1193.31922852652
110,69.50627932059683,-163.9892853999725,1194.654241454979
111,74.89669534447617,-155.3164035762732,1190.774470503297
112,73.66702209778659,-148.1954474815405,1182.589110095999
113,66.47624756403843,-146.5060175776537,1174.547977926288
114,57.24845939381934,-151.1700549617187,1171.039211510164
115,51.00314823631659,-159.6420841286113,1173.962990220314
116,50.46290720973219,-165.7243066664745,1179.548215373566
117,51.60672738987147,-167.8888498985946,1182.717065335621
118,52.70703382646175,-168.8637021114152,1184.661548347269
119,54.07875359454744,-169.5486348520774,1186.556982318889
120,55.6792430174587,-169.9246603906663,1188.346740418491
121,57.47551441080589,-169.9840284648983,1189.993933945416
122,59.41442448871572,-169.7232222202549,1191.448075314675
123,60.86280213708192,-168.2874809733427,1218.750076288721
124,69.28794319494732,-157.0964130970877,1215.043031439545
125,76.8688044910275,-141.6216839352464,1206.319587005465
126,74.00306503108675,-129.5642116268399,1191.767065113958
127,61.4147593730374,-126.6066637675743,1177.690107322459
128,45.22183567765519,-134.1864158179004,1170.930150493634
129,32.6017469175799,-148.4772079485857,1174.018444840407
130,25.60850129855831,-160.0046910336731,1179.326716449076
131,24.35813093086454,-167.3953581892757,1185.58841667528
132,26.08698052542062,-173.4418314805353,1193.144022620156
133,30.47564487646142,-177.4228582724376,1200.992207306226
134,36.94331327357992,-178.9423988046885,1208.22472113978
135,44.78539518951737,-177.8349136991856,1214.0536510075
136,53.11719401012372,-174.1521303995572,1217.748433048816
137,58.49603788429437,-154.1922714043774,1243.123795236146
138,63.69795662070188,-140.4937849201728,1234.067797740592
139,71.11035577764787,-122.4674859610037,1222.651986586786
140,66.49724534097844,-108.9952859199488,1205.144463110147
141,51.63501165137763,-105.5034921076908,1188.524669955055
142,32.51913232159438,-113.4007059255665,1179.497090501355
143,16.7898552507726,-129.4730026677211,1181.612496898246
144,4.524539140799887,-141.5119851311738,1182.769802672783
145,-2.07745068580289,-153.3108135929324,1188.694449501676
146,-1.111652819469372,-165.9170064006854,1202.114277232793
