node,x,y,z
56,18.92373529072733,-94.0228669467172,1566.964253378673
57,14.15661433053858,-68.70378399150064,1567.246725526391
58,12.85798733461699,-83.510997492028,1567.636601809852
59,13.91042988303388,-97.88590487900015,1567.274386192079
60,7.320114823496616,-66.34643891072116,1567.476333029118
61,5.9660865926985,-83.74047443665827,1567.962844112883
62,7.270679852096441,-100.6365913384832,1567.550932092089
63,-1.046912224242738,-65.57704051751838,1567.533086967268
64,-0.9185831131688853,-83.90019750366196,1568.029990277746
65,-0.7868099317567605,-101.7906092173657,1567.636937572954
66,-9.387316853761028,-66.64962059392417,1567.328389811825
67,-7.791012210307651,-83.99496936731332,1567.848779830766
68,-8.844596313799274,-100.9421134777824,1567.425710476842
69,-16.15115224510341,-69.25245635195967,1566.975079098656
70,-14.64725076356562,-84.01698357835454,1567.413395918069
71,-15.48251325528895,-98.43304458617338,1567.051901766106
72,-21.09061099694288,-72.97746315244662,1566.627880032652
73,-21.46290503166964,-83.95116489777537,1566.72801418735
74,-20.50261342935754,-94.74449058919829,1566.670950612519
75,26.59102356277767,-82.79033852518855,1566.255562143626
76,24.28477099651868,-96.61322632386437,1566.253308125203
77,18.25226870178944,-108.2343125447072,1566.355158124203
78,9.661637241747197,-116.2897154652542,1566.465103052991
79,-0.6520529632558042,-118.9473107185652,1566.489263371169
80,-10.98136934694372,-116.6585682731243,1566.326268039183
81,-19.63049159080924,-108.9352701030688,1566.096719074836
82,-25.74996328081588,-97.51532873675835,1565.8881619152
83,-28.23630414937102,-83.7843483138178,1565.813708392332
84,-26.64733697455813,-69.83522614283642,1565.849353139752
85,-21.13935200971358,-57.86356048162377,1565.917010382479
86,-12.1301446764487,-49.81584648441844,1566.009897029494
87,-1.180735917738829,-46.72034246932154,1566.098263506216
88,9.83734238074049,-49.4184505671596,1566.196415528599
89,19.00689453432537,-57.15704193601422,1566.273311197661
90,24.77075468511256,-68.90990891072141,1566.307818917887
91,75.95804858523947,-79.36995093430538,1556.49736137005
92,69.32989382027853,-119.015407913885,1555.826831290225
93,54.72497631733769,-151.7041165300005,1555.98467419189
94,27.48173115305826,-170.6042883679096,1557.891922870929
95,-0.4089943469405541,-182.3749588827775,1559.123745015537
96,-27.867216367553,-171.1649399940073,1557.92038510513
97,-54.37218048433168,-153.0481186915106,1555.503998879002
98,-69.21237320927288,-121.5034360603687,1554.615769885302
99,-76.59604483541187,-82.0795087259838,1554.879055426556
100,-76.45760569786273,-41.78472578121216,1555.302205537768
101,-62.48778339833174,-6.866588188072222,1555.624905836237
102,-36.64894965826122,17.55641321803811,1555.580964542119
103,-1.764358435675779,24.90051666493781,1555.760369798453
104,33.3551758494854,18.54662150655097,1556.071323762472
105,60.10652494321841,-4.75251497557487,1556.547703000809
106,74.8575113443577,-39.23062501407169,1556.688136830591
107,15.87617502579322,-79.0936586989303,1502.377877966051
108,16.52911091339855,-89.08126561058008,1501.854241909542
109,15.96382401492022,-99.16168308972125,1501.211459610176
